module_name,clock_frequency_mhz,slack_ps,data_path_delay_ps,required_time_ps,output_delay_ps,timing_violation,timing_violation_count,timing_violation_risk,worst_violation,timing_margin,max_logic_depth,rtl_max_fanout,timing_worst_logic_depth,timing_worst_slack,timing_worst_data_path_delay,timing_avg_logic_depth,cell_count,combinational_depth,rtl_combinational_block_count,rtl_sequential_block_count,combinational_logic,arithmetic_ops,multiplexers,logic_and_percent,logic_or_percent,logic_not_percent,logic_xor_percent,logic_buffer_percent,logic_sequential_percent,technology
t_flipflop,1000,-881,1381,500,500,YES,1,High,-881,-881,1,1,1,-881,1381,1,1,1,1,1,0,0,0,0,0,100,0,0,100,180
t_flipflop,250,2119,1381,3500,500,NO,0,Low,0,2119,1,1,1,2119,1381,1,1,1,1,1,0,0,0,0,0,100,0,0,100,180
t_flipflop,500,119,1381,1500,500,NO,0,Medium,0,119,1,1,1,119,1381,1,1,1,1,1,0,0,0,0,0,100,0,0,100,180
wallace_tree_multiplier,1000,-11,511,500,500,YES,1,Low,-11,0,3,8,1,-11,511,2,34,3,28,8,16,9,0,14.9,0,0.5,0,25.1,59.5,180
wallace_tree_multiplier,1000,-682,1182,500,500,YES,1,High,-682,0,3,8,1,-682,1182,2,26,3,16,8,16,9,0,29.9,0,0.9,0,1.9,67.3,180
wallace_tree_multiplier,500,-373,1873,1500,500,YES,1,Medium,-373,0,3,8,1,-373,1873,2,26,3,16,8,16,9,0,26.9,0,0.8,0,1.7,70.6,180
wallace_tree_multiplier,500,318,1182,1500,500,NO,0,Low,0,318,3,8,1,318,1182,2,26,3,16,8,16,9,0,29.9,0,0.9,0,1.9,67.3,90
arithmetic_shifter_8bit,500,-107,1274,1666,500,YES,1,High,-107,-107,9,7,9,-107,1274,9,79,9,71,8,71,2,1,3.8,1.3,12.7,0,0,29.8,180
arithmetic_shifter_8bit,250,1893,1274,3666,500,NO,0,Low,0,1893,9,7,9,1893,1274,9,79,9,71,8,71,2,1,3.8,1.3,12.7,0,0,29.8,180
arithmetic_shifter_8bit,1000,1893,1274,3666,500,NO,0,Low,0,1893,9,7,9,1893,1274,9,79,9,71,8,71,2,1,3.8,1.3,12.7,0,0,29.8,180
encoder_2to1_clk,1000,-780,1280,500,500,YES,1,Critical,-780,-780,1,1,1,-780,1280,1,1,0,1,1,0,0,0,0,0,0,0,0,100,180
priority_encoder_4to2_clk,1000,-780,1280,500,500,YES,1,Critical,-780,-780,1,2,1,-780,1280,1,6,1,1,2,4,0,0,9.1,18.2,9.1,0,0,72.7,180
priority_encoder_4to2_clk,500,220,1280,1500,500,NO,0,Medium,0,220,1,2,1,220,1280,1,6,1,1,2,4,0,0,9.1,18.2,9.1,0,0,72.7,180
encoder_8to3_clk,1000,-780,1280,500,500,YES,1,High,-780,0,1,3,1,-780,1280,1,12,1,0,1,7,0,0,16.7,37.3,4.8,0,0,57.8,180
encoder_8to3_clk,500,220,1280,1500,500,NO,0,Low,0,220,1,3,1,220,1280,1,12,1,0,1,7,0,0,16.7,37.3,4.8,0,0,57.8,180
priority_encoder_8to3_clk,500,220,1280,1500,500,NO,0,Low,0,220,1,4,1,220,1280,1,15,1,0,1,8,0,0,14,36.9,5.6,0,0,59.8,180
priority_encoder_8to3_clk,500,220,1280,1500,500,NO,0,Low,0,220,1,4,1,220,1280,1,15,1,0,1,8,0,0,14,36.9,5.6,0,0,59.8,180
fifo_8bit,500,-634,1798,1664,500,YES,1,High,-634,0,9,9,9,-634,1798,5,312,9,1,1,148,2,0,12.8,4.2,1.1,0,0,80.6,180
jk_flipflop,1000,119,1381,1500,500,NO,0,Low,0,119,1,1,1,119,1381,1,1,1,0,1,0,0,0,0,0,0,0,0,100,180
jk_flipflop,500,119,1381,1500,500,NO,0,low,0,119,1,1,1,119,1381,1,1,1,0,1,0,0,0,0,0,0,0,0,100,180
jk_flipflop,500,366,1020,1386,500,NO,0,Low,0,366,1,2,1,366,1020,1,2,1,0,1,0,0,0,0,0,10,0,0,90,180
master_slave_dff,250,54,323,377,500,NO,0,Low,0,54,1,1,1,54,323,1,2,0,0,2,0,0,0,0,0,0,0,0,100,180
master_slave_dff,250,54,323,377,500,NO,0,Low,0,54,1,1,1,54,323,1,2,0,0,2,0,0,0,0,0,0,0,0,100,90
master_slave_dff,500,-857,1857,1500,500,YES,1,High,-857,-857,1,1,1,-857,1857,1,2,0,0,2,0,0,0,0,0,0,0,0,100,90
arithmetic_shifter_8bit,250,1893,1274,3666,500,No,0,Low,0,1893,9,7,9,1893,1274,9,79,9,71,8,71,2,1,3.8,1.3,12.7,0,0,29.8,180
arithmetic_shifter_8bit,500,-107,1274,1666,500,YES,1,High,-107,-107,9,7,9,-107,1274,9,79,9,71,8,71,2,1,3.8,1.3,12.7,0,0,29.8,180
arithmetic_shifter_8bit,1000,1893,1274,3666,500,NO,0,Low,0,1893,9,7,9,1893,1274,9,79,9,71,8,71,2,1,3.8,1.3,12.7,0,0,29.8,180
ripple_carry_adder,250,1627,1873,3500,500,NO,0,Low,0,1627,2,9,2,1627,1873,2,19,2,10,9,10,2,0,0,0,0.9,0,15.9,83.3,180
ripple_carry_adder,500,501,999,1500,500,NO,0,Low,0,501,3,9,3,501,999,3,19,3,10,9,10,2,0,0,0,0.9,0,15.9,83.3,180
ripple_carry_adder,1000,-499,999,500,500,YES,1,High,-499,-499,3,9,3,-499,999,3,19,3,10,9,10,2,0,0,0,0.9,0,15.9,83.3,180
decoder_2to4_clk,500,-136,1336,1200,800,YES,1,High,-136,0,1,4,1,-136,1336,1,7,1,1,4,9.5,0,0,0,4.1,5.4,0,0,90.5,180
decoder_3to8_clk,1000,-1136,1336,200,800,YES,1,High,-1136,0,1,8,1,-1136,1336,1,13,1,1,8,11.1,0,0,2.6,3.9,1.3,0,0,88.9,180
decoder_4to16_clk,1000,-1136,1336,200,800,YES,1,High,-1136,0,1,16,1,-1136,1336,1,24,1,1,16,9.9,0,0,2.6,7.3,0,0,0,90.1,180
decoder_4to16_clk,500,-1136,1336,200,800,YES,1,High,-1136,0,1,16,1,-1136,1336,1,24,1,1,16,9.9,0,0,2.6,7.3,0,0,0,90.1,180
demux_1to8,250,1709,1791,3500,500,NO,0,Low,0,1709,1,8,1,1709,1791,1,15,1,1,8,7,0,1,2.5,9.4,1.2,0,0,85,90
demux_1to8,500,140,1360,1500,500,NO,0,Medium,0,140,1,8,1,140,1360,1,15,1,1,8,7,0,1,2.5,9.4,1.2,0,0,85,180
dff,500,55,1145,1200,800,NO,0,High,0,55,1,1,1,55,1145,1,2,1,1,1,1,0,0,7.1,0,7.1,0,0,92.9,180
dff,1000,9,691,700,300,NO,0,Very High,0,9,2,2,2,9,691,2,5,2,1,1,4,0,0,0,0,40,0,0,60,180
mux_2to1,1000,-1266,1766,500,500,YES,1,High,-1266,-1266,1,1,1,-1266,1766,1,1,0,0,1,0,0,0,0,0,0,0,0,100,90
mux_2to1,500,920,580,1500,500,YES,0,Low,0,920,1,1,1,920,580,1,1,0,0,1,0,0,0,0,0,0,0,0,100,180
mux_4to1,250,2401,1099,3500,500,NO,0,Low,0,2401,1,4,1,2401,1099,1,2,1,1,1,0,1,0,0,0,0,0,0,79.5,90
mux_4to1,500,208,1292,1500,500,NO,0,Medium,0,208,1,4,1,208,1292,1,3,1,1,1,0,1,0,0,0,0,0,0,79.5,180
mux_8to1,1000,-1273,1773,500,500,YES,1,High,-1273,-1273,3,8,3,-1273,1773,2,12,2,1,1,0,2,9.6,68.1,9.6,0,0,0,23.5,90
mux_8to1,250,2220,1280,3500,500,NO,0,Low,0,2220,3,8,3,2220,1280,2,13,2,1,1,0,2,9.6,68.1,9.6,0,0,0,23.5,180
pipeline_register,250,1627,1873,3500,500,NO,0,Low,0,1627,1,32,1,1627,1873,1,33,0,0,1,0,0,0,0,0.3,0,0,0,99.7,180
pipeline_register,500,-373,1873,1500,500,YES,1,High,-373,-373,1,32,1,-373,1873,1,33,0,0,1,0,0,0,0,0.3,0,0,0,99.7,180
