module_name,module_type,signal_name,signal_width,is_output,is_registered,fanin,fanout,combinational_ops,arithmetic_ops,mux_ops,always_blocks,case_statements,if_statements,loop_constructs,module_complexity,technology_node_nm,clock_frequency_mhz,optimization_level,combinational_depth
ALU_32bit,ALU,result,32,1,1,23,3,37,12,8,3,2,5,0,8,28,500,2,7
ALU_32bit,ALU,overflow,1,1,1,15,2,18,4,3,2,1,3,0,8,28,500,2,5
ALU_32bit,ALU,zero,1,1,1,12,1,10,2,2,1,1,2,0,8,28,500,2,4
ALU_8bit,ALU,result,8,1,1,12,2,14,6,3,2,1,3,0,6,45,350,1,5
ALU_8bit,ALU,overflow,1,1,1,8,1,6,2,1,1,1,2,0,6,45,350,1,3
Multiplier_32bit,Multiplier,product,64,1,1,8,2,6,24,2,1,0,2,0,9,14,800,2,12
Multiplier_32bit,Multiplier,overflow,1,1,1,6,1,8,4,1,1,0,1,0,9,14,800,2,7
Multiplier_16bit,Multiplier,product,32,1,1,6,2,4,12,2,1,0,1,0,8,28,500,2,9
Multiplier_16bit,Multiplier,overflow,1,1,1,4,1,6,3,1,1,0,1,0,8,28,500,2,6
Adder_32bit,Adder,sum,32,1,0,4,3,32,3,0,0,0,0,0,5,28,800,2,4
Adder_32bit,Adder,carry_out,1,1,0,4,1,3,1,0,0,0,0,0,5,28,800,2,3
Adder_8bit,Adder,sum,8,1,0,3,2,8,2,0,0,0,0,0,4,45,350,1,3
Adder_8bit,Adder,carry_out,1,1,0,3,1,2,1,0,0,0,0,0,4,45,350,1,2
RegisterFile_32x32,RegisterFile,read_data,32,1,1,12,3,16,0,12,2,0,3,1,7,28,500,2,6
RegisterFile_32x32,RegisterFile,ready,1,1,1,8,5,10,0,4,1,0,3,0,7,28,500,2,5
RegisterFile_16x8,RegisterFile,read_data,8,1,1,8,2,10,0,8,2,0,2,1,6,45,350,1,4
RegisterFile_16x8,RegisterFile,ready,1,1,1,6,3,6,0,3,1,0,2,0,6,45,350,1,3
Counter_32bit,Counter,count,32,1,1,4,3,5,3,0,1,0,1,0,4,28,800,2,3
Counter_32bit,Counter,overflow,1,1,1,3,2,4,1,0,1,0,1,0,4,28,800,2,2
Counter_10bit,Counter,count,10,1,1,3,2,4,2,0,1,0,1,0,3,45,800,2,2

